treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
dmb_ish,after_group,l1,random,2048,1,1000000,10,5.86,1.84,14.06,4.38,8.20,2.54,5.8642,14.0595,8.1955,0.0000,0.0000,0.0000,3.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l1,random,2048,2,1000000,10,8.19,2.56,16.44,5.11,8.25,2.56,4.0947,8.2190,4.1252,0.0000,0.0000,0.0000,2.5000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l1,random,2048,4,1000000,10,15.29,4.75,20.68,6.43,5.39,1.67,3.8216,5.1688,1.3478,0.0000,0.0000,0.0000,2.2500,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l1,random,2048,8,1000000,10,29.37,9.12,28.92,8.99,-0.44,-0.12,3.6707,3.6147,-0.0547,0.0000,0.0000,0.0000,2.1250,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l1,random,2048,16,1000000,10,55.89,17.35,55.56,17.24,-0.31,-0.10,3.4929,3.4723,-0.0192,0.0000,0.0000,0.0000,2.0625,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l1,random,2048,32,1000000,10,109.18,33.87,108.74,33.74,-0.42,-0.13,3.4119,3.3982,-0.0132,0.0000,0.0000,0.0000,2.0313,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l1,random,2048,64,1000000,10,219.56,68.09,217.11,67.33,-2.46,-0.77,3.4306,3.3924,-0.0384,0.0000,0.0000,0.0000,2.0156,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l2,random,524288,1,1000000,10,14.68,4.57,21.68,6.75,7.03,2.20,14.6822,21.6771,7.0279,1.8874,0.1581,0.1739,3.0000,0.5367,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l2,random,524288,2,1000000,10,20.39,6.34,29.14,9.06,8.95,2.78,10.1948,14.5710,4.4726,1.3522,0.1043,0.1953,2.5000,0.5114,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l2,random,524288,4,1000000,10,28.02,8.72,41.38,12.86,13.33,4.14,7.0054,10.3447,3.3322,1.0761,0.0691,0.1864,2.2500,0.4544,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l2,random,524288,8,1000000,10,44.37,13.79,67.79,21.06,23.64,7.35,5.5468,8.4732,2.9551,0.9281,0.0671,0.1634,2.1250,0.3781,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l2,random,524288,16,1000000,10,72.61,22.55,85.41,26.52,12.81,3.97,4.5383,5.3384,0.8005,0.8550,0.0170,0.0723,2.0629,0.2207,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l2,random,524288,32,1000000,10,120.33,37.38,123.36,38.30,3.06,0.95,3.7605,3.8549,0.0955,0.8159,0.0034,0.0120,2.0316,0.0686,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l2,random,524288,64,1000000,10,232.09,72.06,232.77,72.27,0.65,0.20,3.6264,3.6370,0.0101,0.7972,0.0023,0.0093,2.0160,0.0498,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l3,random,8388608,1,1000000,10,22.96,7.15,36.78,11.44,13.91,4.31,22.9633,36.7845,13.9101,1.9920,0.9684,1.9250,3.0001,0.8028,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l3,random,8388608,2,1000000,10,25.71,8.00,47.16,14.66,21.64,6.72,12.8568,23.5812,10.8200,1.4894,0.5453,1.3982,2.5001,0.7095,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l3,random,8388608,4,1000000,10,32.09,9.99,68.77,21.37,36.80,11.42,8.0214,17.1922,9.1994,1.2378,0.4090,1.1299,2.2500,0.5874,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l3,random,8388608,8,1000000,10,58.50,18.18,116.85,36.28,58.90,18.29,7.3123,14.6057,7.3625,1.1112,0.4026,0.9858,2.1250,0.5455,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l3,random,8388608,16,1000000,10,119.01,36.98,216.08,67.10,97.06,30.13,7.4383,13.5050,6.0665,1.0480,0.4324,0.9242,2.0625,0.5612,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l3,random,8388608,32,1000000,10,215.96,67.06,327.05,101.57,111.40,34.55,6.7489,10.2204,3.4814,1.0164,0.3539,0.8648,2.0313,0.5289,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,l3,random,8388608,64,1000000,10,355.93,110.53,508.07,157.73,152.24,47.23,5.5614,7.9386,2.3787,1.0002,0.3060,0.8275,2.0156,0.4352,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,dram,random,536870912,1,1000000,10,312.71,97.23,321.09,99.89,7.61,2.41,312.7129,321.0906,7.6061,1.9998,2.4522,6.3458,3.0007,0.9314,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,dram,random,536870912,2,1000000,10,467.73,145.42,482.57,149.97,14.54,4.46,233.8628,241.2826,7.2698,1.4998,1.5776,2.4507,2.5006,0.9650,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,dram,random,536870912,4,1000000,10,610.61,189.83,621.05,193.07,9.15,2.90,152.6515,155.2616,2.2863,1.2499,1.3495,1.8922,2.2504,0.9683,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,dram,random,536870912,8,1000000,10,685.23,213.01,684.53,212.77,-0.78,-0.24,85.6542,85.5664,-0.0978,1.1276,1.2227,1.5757,2.1252,0.9520,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,dram,random,536870912,16,1000000,10,759.37,236.10,923.18,286.84,164.04,51.00,47.4608,57.6987,10.2522,1.0623,0.9916,1.2928,2.0627,0.9198,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,dram,random,536870912,32,1000000,10,844.20,262.37,1080.89,335.82,237.46,73.70,26.3811,33.7777,7.4206,1.0312,0.5017,1.0671,2.0313,0.8673,1.0000,0,0,0,10,10,10,10
