treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
dmb_ish,after_group,miss,random,536870912,1,1000000,10,10.07,3.15,59.47,18.49,49.40,15.34,10.0660,59.4693,49.4033,1.0003,0.1844,0.9989,2.0000,0.5374,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,2,1000000,10,19.21,5.99,98.37,30.57,79.16,24.58,9.6036,49.1841,39.5805,1.0001,0.1482,0.9987,2.0000,0.5714,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,4,1000000,10,44.34,13.82,197.82,61.49,153.45,47.65,11.0847,49.4560,38.3615,1.0004,0.0480,0.9988,2.0001,0.5592,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,8,1000000,10,89.16,27.75,382.90,118.96,293.73,91.21,11.1453,47.8626,36.7160,1.0003,0.0395,0.9987,2.0001,0.5392,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,16,1000000,10,176.91,55.07,681.61,211.77,504.69,156.71,11.0567,42.6008,31.5430,1.0004,0.0355,0.9987,2.0001,0.5231,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,32,1000000,10,353.21,109.91,1148.10,356.70,794.89,246.80,11.0379,35.8782,24.8402,1.0003,0.0345,0.9987,2.0001,0.5206,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,64,1000000,10,706.53,219.77,1431.27,444.87,724.76,225.12,11.0396,22.3636,11.3244,1.0002,0.0344,0.9987,2.0001,0.5223,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,1,1000000,10,3.86,1.21,13.79,4.29,9.93,3.09,3.8636,13.7882,9.9292,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,2,1000000,10,6.83,2.13,15.81,4.92,9.01,2.78,3.4139,7.9044,4.5036,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,4,1000000,10,12.15,3.78,20.02,6.22,7.88,2.44,3.0363,5.0060,1.9706,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,8,1000000,10,24.53,7.62,25.37,7.88,0.90,0.26,3.0660,3.1715,0.1121,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,16,1000000,10,50.85,15.79,51.16,15.89,0.36,0.11,3.1783,3.1977,0.0225,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,32,1000000,10,102.21,31.72,101.87,31.60,-0.33,-0.10,3.1940,3.1835,-0.0103,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,64,1000000,10,215.63,66.90,214.88,66.66,-0.73,-0.24,3.3693,3.3575,-0.0114,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,miss,random,536870912,1,1000000,10,8.01,2.51,46.36,14.45,38.35,11.93,8.0081,46.3564,38.3483,1.0001,0.2559,0.9986,2.0000,0.4449,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,miss,random,536870912,2,1000000,10,20.73,6.47,117.12,36.40,96.27,29.89,10.3649,58.5612,48.1339,1.0002,0.1264,0.9987,2.0000,0.5802,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,miss,random,536870912,4,1000000,10,44.34,13.83,254.44,79.07,210.08,65.24,11.0843,63.6111,52.5194,1.0003,0.0492,0.9987,2.0001,0.5623,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,miss,random,536870912,8,1000000,10,88.85,27.66,563.95,175.20,475.05,147.50,11.1069,70.4940,59.3809,1.0004,0.0370,0.9987,2.0001,0.5278,1.0000,0,0,0,10,10,10,10
